Id,Model,Ram,Hdd,Location,Price
326,HP DL180G62x Intel Xeon E5620,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$143.99
327,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,San FranciscoSFO-12,$111.99
328,Dell R210Intel Xeon X3430,8GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$61.99
329,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$127.99
330,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$111.99
331,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$116.99
332,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$386.99
333,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,DallasDAL-10,$176.99
334,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,DallasDAL-10,$171.99
335,HP DL180G62x Intel Xeon E5645,32GBDDR3,8x2TBSATA2,DallasDAL-10,$193.99
336,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,DallasDAL-10,$230.99
337,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,DallasDAL-10,$230.99
338,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$226.99
339,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$231.99
340,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,DallasDAL-10,$303.99
341,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,DallasDAL-10,$427.99
342,HP DL180G62x Intel Xeon E5620,32GBDDR3,2x1TBSATA2,Hong KongHKG-10,S$569.99
343,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€146.99
344,Dell R730XD2x Intel Xeon E5-2620v4,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$464.99
345,Dell R730XD2x Intel Xeon E5-2650v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$576.99
346,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Washington D.C.WDC-01,$280.99
347,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€257.99
348,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€347.99
349,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$309.99
350,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$417.99
351,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$443.99
352,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€369.99
353,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$231.99
354,Dell R720XD2x Intel Xeon E5-2640v2,64GBDDR3,8x1TBSATA2,FrankfurtFRA-10,€279.00
355,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,FrankfurtFRA-10,€321.99
356,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,DallasDAL-10,$386.99
357,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$231.99
358,HP DL180G62x Intel Xeon E5620,32GBDDR3,2x1TBSATA2,SingaporeSIN-11,S$569.99
359,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$309.99
360,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$417.99
361,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€323.99
362,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€259.99
363,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$311.99
364,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$388.99
365,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$311.99
366,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$388.99
367,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$443.99
368,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€96.99
369,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,DallasDAL-10,$111.99
370,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x500GBSATA2,DallasDAL-10,$116.99
371,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,Washington D.C.WDC-01,$209.99
372,HP DL120G6Intel Xeon X3440,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$75.99
373,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,DallasDAL-10,$127.99
374,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,DallasDAL-10,$209.99
375,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,FrankfurtFRA-10,€92.99
376,HP DL120G6Intel G6950,4GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$55.99
377,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,San FranciscoSFO-12,$209.99
378,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1553.99
379,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$1741.99
380,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€1049.99
381,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$2012.99
382,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€761.99
383,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€879.99
384,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,Washington D.C.WDC-01,$427.99
385,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,FrankfurtFRA-10,€355.99
386,Dell R7202x Intel Xeon E5-2643,32GBDDR3,2x120GBSSD,FrankfurtFRA-10,€226.99
387,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€192.99
388,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,FrankfurtFRA-10,€252.99
389,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,FrankfurtFRA-10,€170.99
390,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,FrankfurtFRA-10,€170.99
391,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,San FranciscoSFO-12,$200.99
392,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,San FranciscoSFO-12,$200.99
393,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$226.99
394,Dell R5102x Intel Xeon E5504,4GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$110.99
395,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,Washington D.C.WDC-01,$176.99
396,HP DL180G62x Intel Xeon E5645,32GBDDR3,8x2TBSATA2,Washington D.C.WDC-01,$193.99
397,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,Washington D.C.WDC-01,$200.99
398,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,Washington D.C.WDC-01,$230.99
399,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$231.99
400,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$231.99
401,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,Washington D.C.WDC-01,$303.99
402,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,San FranciscoSFO-12,$303.99
403,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$226.99
404,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$171.99
405,HP DL120G6Intel Xeon X3440,4GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$236.79
406,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$272.79
407,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$277.79
408,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$288.79
409,Dell R210Intel Xeon X3440,16GBDDR3,2x2TBSATA2,Washington D.C.WDC-01,$237.79
410,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,San FranciscoSFO-12,$272.79
411,Dell R210Intel Xeon X3430,8GBDDR3,2x500GBSATA2,Washington D.C.WDC-01,$222.79
412,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,FrankfurtFRA-10,€226.99
413,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€230.99
414,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$547.79
415,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,DallasDAL-10,$332.79
416,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,DallasDAL-10,$337.79
417,HP DL180G62x Intel Xeon E5645,32GBDDR3,8x2TBSATA2,DallasDAL-10,$354.79
418,HP DL380eG82x Intel Xeon E5-2420,64GBDDR3,8x2TBSATA2,DallasDAL-10,$367.79
419,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,DallasDAL-10,$367.79
420,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$387.79
421,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$392.79
422,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,DallasDAL-10,$464.79
423,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,DallasDAL-10,$588.79
424,Dell R730XD2x Intel Xeon E5-2620v4,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$994.99
425,Dell R730XD2x Intel Xeon E5-2650v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$1106.99
426,DL20G9Intel Xeon E3-1270v5,16GBDDR4,2x1TBSATA2,Washington D.C.WDC-01,$810.99
427,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,Washington D.C.WDC-01,$1055.99
428,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€391.99
429,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€481.99
430,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$578.79
431,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$470.79
432,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€503.99
433,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$604.79
434,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,DallasDAL-10,$392.79
435,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,FrankfurtFRA-10,€455.99
436,Dell R730XD2x Intel Xeon E5-2630v4,128GBDDR4,4x480GBSSD,DallasDAL-10,$547.79
437,IBM X36302x Intel Xeon E5620,16GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$339.79
438,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$392.79
439,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,San FranciscoSFO-12,$464.79
440,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$392.79
441,Dell R730XD2x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$470.79
442,Dell R730XD2x Intel Xeon E5-2650v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$578.79
443,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,FrankfurtFRA-10,€457.99
444,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€393.99
445,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$472.79
446,HP DL180 G92x Intel Xeon E5-2620v3,64GBDDR4,2x120GBSSD,DallasDAL-10,$472.79
447,HP DL160 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$549.79
448,Dell R730XD2x Intel Xeon E5-2670v3,128GBDDR4,2x120GBSSD,DallasDAL-10,$604.79
449,HP DL180 G92x Intel Xeon E5-2630v3,128GBDDR4,2x120GBSSD,Washington D.C.WDC-01,$549.79
450,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,Washington D.C.WDC-01,$370.79
451,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,San FranciscoSFO-12,$370.79
452,HP DL120G7Intel Xeon E3-1230,16GBDDR3,2x500GBSATA2,DallasDAL-10,$272.79
453,HP DL120G7Intel Xeon E3-1270,16GBDDR3,2x1TBSATA2,DallasDAL-10,$277.79
454,Dell R210-IIIntel Xeon E3-1270v2,16GBDDR3,2x1TBSATA2,DallasDAL-10,$288.79
455,Supermicro SC813MTQIntel Xeon E5-1650v2,64GBDDR3,2x120GBSSD,DallasDAL-10,$370.79
456,HP DL120G6Intel G6950,4GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$216.79
457,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$4203.99
458,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$4391.99
459,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€1183.99
460,Dell R9304x Intel Xeon E7-4850v3,64GBDDR4,2x120GBSSD,SingaporeSIN-11,S$4662.99
461,Dell R9304x Intel Xeon E7-4820v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€895.99
462,Dell R9304x Intel Xeon E7-4830v3,64GBDDR4,2x120GBSSD,FrankfurtFRA-10,€1013.99
463,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,Washington D.C.WDC-01,$588.79
464,Supermicro SC846Intel Xeon E5620,32GBDDR3,24x1TBSATA2,FrankfurtFRA-10,€489.99
465,Dell R7202x Intel Xeon E5-2643,32GBDDR3,2x120GBSSD,FrankfurtFRA-10,€360.99
466,Dell R720XD2x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,FrankfurtFRA-10,€326.99
467,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,FrankfurtFRA-10,€280.99
468,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,FrankfurtFRA-10,€304.99
469,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,FrankfurtFRA-10,€386.99
470,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,San FranciscoSFO-12,$367.79
471,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,San FranciscoSFO-12,$387.79
472,Dell R5102x Intel Xeon E5504,4GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$271.79
473,Dell R5102x Intel Xeon E5620,8GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$332.79
474,HP DL180G62x Intel Xeon E5620,32GBDDR3,8x300GBSAS,Washington D.C.WDC-01,$337.79
475,HP DL180G62x Intel Xeon E5645,32GBDDR3,8x2TBSATA2,Washington D.C.WDC-01,$354.79
476,HP DL380eG82x Intel Xeon E5-2420,16GBDDR3,8x3TBSATA2,Washington D.C.WDC-01,$367.79
477,HP DL380pG82x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$392.79
478,HP DL380pG82x Intel Xeon E5-2650,128GBDDR3,1x120GBSSD,Washington D.C.WDC-01,$464.79
479,IBM X3650M42x Intel Xeon E5-2620,32GBDDR3,2x1TBSATA2,Washington D.C.WDC-01,$387.79
480,HP DL120G7Intel Xeon E3-1230,8GBDDR3,4x500GBSATA2,Washington D.C.WDC-01,$2169.99
481,HP DL380pG82x Intel Xeon E5-2620,8GBDDR3,4x1TBSATA2,DallasDAL-10,$2289.99
482,HP DL380pG82x Intel Xeon E5-2650,8GBDDR3,4x1TBSATA2,DallasDAL-10,$2361.99
483,HP DL120G7Intel Xeon E3-1230,8GBDDR3,4x500GBSATA2,DallasDAL-10,$2169.99
484,HP DL380pG82x Intel Xeon E5-2650,8GBDDR3,4x1TBSATA2,FrankfurtFRA-10,€1967.99
485,HP DL380pG82x Intel Xeon E5-2620,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$2289.99
486,HP DL380pG82x Intel Xeon E5-2650,8GBDDR3,4x1TBSATA2,Washington D.C.WDC-01,$2361.99
